caminho_imagem,texto_busca
images/3702436188_2c26192fd0.jpg,a boy wearing a white shirt and pink shoelaces jumping on a railing
images/232193739_ed5f348c7a.jpg,A guy skateboarding on midair .
images/3613027188_1645ca1976.jpg,A group of players chase a ball on a field .
images/2251447809_2de73afcdf.jpg,A man dressed in black walks on an icy sidewalk
images/2992808092_5f677085b7.jpg,Two boys fight for the ball .
images/3189002057_3ef61b803e.jpg,"A man and a girl walking on the beach , orange sunset behind ."
images/3286198467_8880be127e.jpg,A brown dog is fetching something in its mouth on a field .
images/3064716525_b8418d4946.jpg,a black and white dog is jumping fences in a dog show .
images/1112212364_0c48235fc2.jpg,A baby is sitting on and playing with smooth rocks .
images/3556485995_9cd40269e9.jpg,Two cricket players holding their sticks in the air .
images/330849796_c575c3108a.jpg,A girl asleep in a bus seat
images/3103587323_7f093d5b90.jpg,A child holding onto the tail of a fake alligator .
images/3091338773_9cf10467b4.jpg,A brown dog is biting a green object .
images/2559503010_84f20b3bc9.jpg,a man stands outside a bank selling watermelons .
images/1363924449_487f0733df.jpg,A boy holds his hands on his head .
images/2335619125_2e2034f2c3.jpg,A big black dog bares its teeth while running through the snow .
images/2107837987_ffecfc367a.jpg,A boy stands near water with a stone in his hand .
images/3235542079_2fcf4951a1.jpg,A man in a prison suit is snowboarding .
images/2089122314_40d5739aef.jpg,A dog running with a newspaper in its mouth .
images/3082934678_58534e9d2c.jpg,A tan dog is running on pavement with a white dog running on grass beside it .
images/2744690159_fe2c89e55b.jpg,Four dogs splashing in the water
images/742073622_1206be8f7f.jpg,A boy stands in the road wearing a big red hat .
images/109823397_e35154645f.jpg,A man jumps gin the air while riding an ATV
images/2077346067_0a3a5aae65.jpg,A man dressed in black and holding a package in his hands is walking on a sidewalk near a police sign asking for witnesses to a road dealth to step forward .
images/2698197294_ccd9327ef6.jpg,A black and white dog is running through shallow water .
images/2934121315_4969eeda1b.jpg,A blond dog runs in the ocean surf .
images/3610687607_895fdc94bd.jpg,A man is jumping with his body forward toward a photograph screen and a large photography light .
images/2057306459_2f52ce648e.jpg,A person in a field walks toward their white and orange parachute while another holds it .
images/1865794069_6e3a1e57bb.jpg,A blond boy with a navy blue uniform kicks a soccer ball in an open field .
images/500678178_26ce0f4417.jpg,A child lies in the hay with only a head and arm showing .
images/2714699748_c9270dd5aa.jpg,Two bulldogs playing on the floor .
images/3725353555_75c346d7ec.jpg,A brown and black dog is jumping through a sprinkler .
images/2562347802_c049a2ba88.jpg,The dogs are walking in the desert .
images/3362871440_6c0f27c480.jpg,A black dog fetches a large stick out of the water .
images/3648988742_888a16f600.jpg,A girl holding a camera .
images/3730011701_5352e02286.jpg,A little girl buried in the sand .
images/2353088412_5e5804c6f5.jpg,A black dog running with a stuffed bird in its mouth and another dog chasing it .
images/2281006675_fde04e93dd.jpg,A dog is walking on a beach with the sun on the horizon .
images/3154693053_cfcd05c226.jpg,A basketball
images/632608471_a70461f123.jpg,A group of little girls perform a recital onstage dressed in all white .
images/420355149_f2076770df.jpg,A child in a green cap sits at a boats controls .
images/3587596696_9c5964c94d.jpg,"A Frisbee team huddles around a Frisbee , each holding a part of it ."
images/3349451628_4249a21c8f.jpg,A boy in a dusty alley playing stickball .
images/2576878141_87f25a10f0.jpg,A baby in blue pants is sitting on a red slide .
images/3623302162_099f983d58.jpg,A dog is attempting a turn by a nearby picnic bench and metal object .
images/2136514643_93d8f75a77.jpg,A girl on the phone standing in front of beautiful plants is passed by another smiling girl .
images/460478198_83039f2593.jpg,A dog chasing another dog by a lake .
images/3587449716_3bf1552c36.jpg,Girls in bright costumes holding little signs that say Iove you .
images/2308271254_27fb466eb4.jpg,A grey dog chasing a brown dog in shallow water .
images/2814037463_74de97da86.jpg,A woman has a finger pointing in her face .
images/3474406285_01f3d24b71.jpg,a brown dog jumping over a blue and yellow stick .
images/3603064161_a8f3b6455d.jpg,A child uses a camera as another child looks on .
images/883040210_3c4a10f030.jpg,A climber is sillhouetted against the sky and rocks as he hangs by a rope from another rock .
images/2282260240_55387258de.jpg,A little girl dances in a room with balloons on the floor .
images/244760301_5809214866.jpg,A group of men wearing similar clothing backpacks through the countryside .
images/2892395757_0a1b0eedd2.jpg,A bicycler is riding a bike at a racing event .
images/352382023_7605223d1c.jpg,A dog carrying a stick while walking in water
images/3030824089_e5a840265e.jpg,A big black and brown dog plays outdoors .
images/2378356400_f6bde5d9b3.jpg,A little girl on a bouncey playground animal sits while a woman takes her picture .
images/258476074_f28f4a1ae6.jpg,A group of cars parked on a hill
images/390992388_d74daee638.jpg,A girl treks through the snow with her backpack on .
images/3417102649_5c0b2f4b4d.jpg,A Dalmatian is playing near a tree .
images/551403320_dfdcf9fc3b.jpg,A climber traverses a rope ladder between cliffs .
images/2923497185_c64004ff2d.jpg,a brown and white dog is running through a white marker in a grassy field .
images/3107513635_fe8a21f148.jpg,A bunch of people at a train station .
images/3353400143_8b9543f7dc.jpg,A man in a yellow outfit riding a yellow motorcycle .
images/1598085252_f3219b6140.jpg,A dog in a field .
images/3445296377_1e5082b44b.jpg,A girl in a pink snowsuit splashes into dirty flood water next to a picnic table .
images/3716244806_97d5a1fb61.jpg,A family sitting on rocks posing for the camera .
images/2589308405_e208b5e745.jpg,Two children are having a sack race .
images/2337757064_08c4033824.jpg,A fisherman in a field near a lake .
images/2409312675_7755a7b816.jpg,A four wheel drive car is driving through the mud .
images/2760715910_87c7bdeb87.jpg,A man walking while holding a hat on a stick .
images/3067885047_f69d90c35b.jpg,Four children are each making a gymnastic bridge on their hands and feet .
images/3440724965_03d6ca5399.jpg,A man has his hand on his head while a speaker is speaking .
images/3679502342_7fe6ef8a36.jpg,A homeless man being observed by a man in business attire .
images/2456615908_59cdac6605.jpg,A black dog carries a bird in its mouth as it jumps over a fence .
images/3487378989_c051d2715b.jpg,a lone bicyclist jumping on his bike in front of a graffitied wall .
images/3223606402_bb2aa6db95.jpg,A skateboarder does a trick off a brown ramp while three other people watch .
images/1924234308_c9ddcf206d.jpg,A girl in a bikini and sneakers makes her way out of the water and onto the rocks .
images/2924483864_cfdb900a13.jpg,A dog wearing the number 8 leads in a dog race .
images/3425071001_e7c9809ef2.jpg,A boy hits a tennis ball on a court .
images/2429272699_8a9699775e.jpg,A man in a striped scarf walking down the sidewalk .
images/2642350864_099c0f2152.jpg,A girl smiles while riding on the back of a cart in a grocery store .
images/397601572_9587a39291.jpg,The back of two men 's heads riding on a train .
images/3211437611_bd4af3730b.jpg,A bridal party surrounding a bride sitting on a couch .
images/1472230829_803818a383.jpg,"A group of people in a boat , white water rafting ."
images/2326879311_555ebef188.jpg,A man in a red shirt is curled up on pavement outdoors .
images/309238565_2d5d8dc8bf.jpg,A man and two youngsters are standing in front of a Japanese vending machine .
images/481632457_7372f18275.jpg,A big tri-colored and a smaller puppy with light blue eyes are playing together .
images/351876121_c7c0221928.jpg,"A big , brown dog is sleeping next to a small black and white cat ."
images/3673970325_4e025069e9.jpg,A girl in a white shirt kneeling down lighting a candle .
images/848293676_98e73c52c1.jpg,A boy in a red suit jumps into a pool .
images/2097489021_ca1b9f5c3b.jpg,A girl in a ballet fairy costume is touched by a wand .
images/3726076549_0efb38854b.jpg,"A boy in jeans , black t-shirt , and blue cap on a bike , leaps over steps ."
images/3624076529_9793655a21.jpg,a brown dog swimming through a lake with a stick in his mouth .
images/1433142189_cda8652603.jpg,A hiker is walking a treeless path up a hill .
images/2568417021_afa68423e5.jpg,A boy gets ready to shoot a basketball .
images/1807169176_7f5226bf5a.jpg,A group of people sit around a blazing fire at night .
images/1461667284_041c8a2475.jpg,A guitarist plays while people play with hula-hoops in the background .
images/856985136_649c0a3881.jpg,A girl touches the fountain with her foot .
images/766099402_cdda6964f0.jpg,A lady in an orange dress rides a ride at the fair .
images/3252588185_3210fe94be.jpg,A smiling woman stands in front of a body of water with water birds .
images/1479124077_17dcc0d5d7.jpg,A barefoot boy in shorts and a t-shirt jumps in muddy grass .
images/3640407952_bb38fb9d55.jpg,A man doing a skateboard trick on a skateboard ramp
images/3587941206_36769c3f1d.jpg,A boy holds the bat waiting for the pitch at a baseball game .
images/2125216241_5b265a2fbc.jpg,A blue and white sailboat sits by a dock .
images/3396251819_1efa69310f.jpg,A man wearing red sunglasses is carrying two cameras .
images/2286236765_2a63eeb550.jpg,A man and a little girl in a pink dress
images/2892989340_bb7e0e5548.jpg,A boy on a surfboard in midair .
images/492341908_1ef53be265.jpg,Two girls are riding a 4 wheeler .
images/2108799322_e25aa6e185.jpg,A black dog in running in a field .
images/3028095878_07341efc9c.jpg,A man sits on the grass and drinks from a water bottle .
images/12830823_87d2654e31.jpg,Children sit and watch the fish moving in the pond
images/3706653103_e777a825e4.jpg,a bicyclist wearing a helmet jumping a trick on his back tire
images/347543966_b2053ae78c.jpg,A group of men stand outside a glass and steel building .
images/3441701164_6dbbdf1bce.jpg,a dirt bike rider holds up his finger .
images/3288839246_fdb00395ae.jpg,A climber in a red shirt is secured by a rope as he looks down a crevasse .
images/1262454669_f1caafec2d.jpg,A girl in a white shirt is sitting on a park bench with a dog next to her .
images/3385593926_d3e9c21170.jpg,The dogs are in the snow in front of a fence .
images/2856700531_312528eea4.jpg,A man in a black jacket with a black beard stares pensively .
images/3319899418_4bcf1b00d8.jpg,A person in a green jacket and yellow pants is on a snowboard coming down a roof into the snow .
images/1481062342_d9e34366c4.jpg,A little girl in pajamas runs down a hall with hardwood floors .
images/3042488474_0d2ec81eb8.jpg,a blonde man looks at the camera .
images/222369445_5b6af347dd.jpg,A man is carrying a surfboard along a stone wall that leads to the ocean .
images/3747543364_bf5b548527.jpg,Three girls do back flips and cartwheels in the surf .
images/33108590_d685bfe51c.jpg,A young couple inspect merchandise from a street vendor .
images/2125454445_5c5c4bf906.jpg,A black and white dog in a dog-shirt carrying a long piece of wood .
images/3559374748_f18c7caa55.jpg,a blue and grey race car driving on a dirt track .
images/2951750234_a4741f708b.jpg,A jockey on a black horse jumps over a hurdle .
images/3016606751_0e8be20abd.jpg,A man leaping into the air with a mountain vista behind him .
images/1028205764_7e8df9a2ea.jpg,A man and a baby are in a yellow kayak on water .
images/350443876_c9769f5734.jpg,A little baby climbing up the ladder after someone .
images/384465575_31294122c0.jpg,A man and a woman are biking on a sunny day .
images/2410153942_ba4a136358.jpg,A man is in a truck that is lying on its side during a truck event .
images/2355763034_9fb61a8165.jpg,A flautist plays the flute in a marching band
images/309430053_cc58bcc36a.jpg,A boat floating on blue water .
images/3048821353_83d4c0cbb9.jpg,A man helps another man do a back flip in a yard .
images/3155657768_b83a7831e5.jpg,"A group of children playing in a yard , a man in the background ."
images/308307853_5a51fbdecc.jpg,A dog plays on the beach .
images/251586160_a31b187a37.jpg,A black dog in a red harness jumping .
images/2508313118_524e93d48c.jpg,A brown dog chases a Frisbee
images/3241892328_4ebf8b21ce.jpg,A female lionist jumping in a green field with a green mountain in the background .
images/2937697444_2367ff0e28.jpg,A guy on a waterskiing board is doing a stunt .
images/3070713991_8696796937.jpg,A boy in a helmet jumps from a makeshift jungle-gym made of tires .
images/3537400880_8f410d747d.jpg,A girl doing the splits in the air while jumping on a trampoline .
images/3309082580_7228067ee0.jpg,A bicycle racer in full helmet speeds through a dim forest .
images/3441531010_8eebbb507e.jpg,A big dog running through the water
images/1084040636_97d9633581.jpg,A closeup of a white dog that is laying its head on its paws .
images/3476451861_5b9c9ce191.jpg,A bicyclist is performing a trick on a tall tree .
images/256085101_2c2617c5d0.jpg,A dog with its mouth opened .
images/2198484810_50a893824a.jpg,A brown dog is running through an obstacle course .
images/3343311201_eeb1a39def.jpg,An artist painting on a small canvas
images/3009047603_28612247d2.jpg,a boy in a stripy shirt is playing with a soccer ball in a grassy park in front of some bushes .
images/3330102093_1d6e35e78d.jpg,A cyclist in a midair jump .
images/537225246_dd0e2158a7.jpg,People in animal costumes entertain a crowd .
images/3117336911_a729f42869.jpg,Children playing in a pool .
images/3304556387_203b9d4db0.jpg,A man is holding a treat up in the air and a dog is in midair trying to grab it while another dog watches .
images/2218519240_cac5aab53c.jpg,A man is wearing protective hair and face coverings .
images/2249141510_f534708374.jpg,A boy in red is jumping in a playground sand pit .
images/1794818900_e0ffdd268e.jpg,A girl plays on a red toy .
images/219301553_d2fffe9e0c.jpg,a group of people are crossing a river
images/2144050118_3e7d2e05b1.jpg,a blond girl in a brown shirt with a black pen up her nose
images/3019842612_8501c1791e.jpg,A boy wearing a teal shirt is riding a skateboard on a sidewalk .
images/3583516290_1c87a13770.jpg,A crowd scene with people in yellow and white native clothing .
images/2330843604_b8d75d6ac7.jpg,A blond child jumping rope on a sidewalk .
images/2369248869_0266760c4a.jpg,a brown and black dog running through a river
images/3430779304_43a2146f4b.jpg,Two cowboys on horseback lasso a young calf to the ground .
images/2273591668_069dcb4641.jpg,A dog is carrying a red toy in its mouth running in a field of brown grass next to a second dog .
images/3134092148_151154139a.jpg,A guy on a surfboard .
images/240696675_7d05193aa0.jpg,A brown dog is running in a grassy plain .
images/430803349_a66c91f64e.jpg,A brown dog holding a buoy in its mouth in the water
images/195084264_72fb347b0f.jpg,A man in a checked shirt stands next to a large wooden bowl .
images/2119660490_ce0d4d1f73.jpg,"A brown dog is laying on his side on a beige carpet , with a green object in the foreground ."
images/1348113612_5bfc5f429e.jpg,A black and white dog jumping into a pool after tennis balls .
images/2968885599_0672a5f016.jpg,"A man controlling a dog sled approaches another dog sled team in a narrow , snowy passageway between two sets of trees ."
images/2934359101_cdf57442dc.jpg,A boxer is being examined in his corner by a member of his support team .
images/1141739219_2c47195e4c.jpg,A family gathered at a painted van
images/3487131146_9d3aca387a.jpg,A group of men stands near a tree as a racing car stirs up a cloud of dust on the gravel road beside them .
images/3148571800_c5515e6c3d.jpg,A man holds a stick while a stream of fire erupts from the end of it .
images/3691729694_2b97f14c1e.jpg,A man in a red uniform makes a jump in a dirt bike race .
images/2238166082_140f8b01b8.jpg,A child in purple winter gear is on a red sled .
images/2254913901_569f568926.jpg,A Louis Vuitton store window at night .
images/518610439_b64ab21c02.jpg,a blond girl doing a handstand on a beach
images/3150380412_7021e5444a.jpg,A brown dog running through the water .
images/2635164923_2a774f7854.jpg,a little baby skateboarding on a small concrete wall
images/581419370_30485f3580.jpg,The hikers take a tandem leap while crossing the bridge .
images/3118505332_b0792489b5.jpg,A man and a woman pose for the camera with pursed lips .
images/426805536_d1d5e68c17.jpg,A bearded man reads while sitting on a wall in a park .
images/3145869775_85dfae43bd.jpg,A girl wearing a Bohemian hat and black jacket is walking trying to get something out of her blue purse .
images/3561639055_5ac66ae92f.jpg,A bicyclist does maneuvers
images/3242919570_39a05aa2ee.jpg,A dog is running through the snow .
images/3035785330_2fd5e32bb1.jpg,A child is riding on a man 's back .
images/2846037553_1a1de50709.jpg,A boy climbing through branches .
images/1346051107_9cdc14e070.jpg,A man is playing a saxophone next to a fire hydrant .
images/522486784_978021d537.jpg,A black dog and a brown dog close together .
images/2194797921_96af7a9467.jpg,A woman is climbing a volleyball net on a beach as two others watch .
images/3386953179_84c2d7922f.jpg,A skier makes the only path on an empty mountain .
images/3066491113_86569e15be.jpg,a black dog is following a brown dog that is carrying a brown plate through a grassy field .
images/241347067_e58d05dbdc.jpg,a football player getting tackle
images/3173215794_6bdd1f72d4.jpg,A woman concentrates on the device in her hand in the midst of a crowded establishment all lit in purple .
images/2502905671_c6039804ab.jpg,A black and white dog looks at a man about to throw something .
images/1541272333_1624b22546.jpg,A brown dog brings up some dust as he runs around a field .
images/3349309109_4024a09a17.jpg,A boy and a girl ride on two seperate camels .
images/105342180_4d4a40b47f.jpg,"A girl paddling down a large river , as seen from behind her ."
images/3486135177_772628d034.jpg,a snowboarder balancing on his hand with the snowboard in the air
images/2251747182_6b67a3ab8b.jpg,A boy playing basketball in a gym
images/461019788_bc0993dabd.jpg,A couple stands on a dock by the water hugging .
images/2718024196_3ff660416a.jpg,A boy in a blue bathing suit jumps with his arms in the air in a backyard setting .
images/2102030040_2e8f4738f7.jpg,A girl skiing .
images/2847859796_4d9cb0d31f.jpg,A child in colorful goggles plays in a pool .
images/3630641436_8f9ac5b9b2.jpg,Three dogs are running in the water on the beach .
images/241345656_861aacefde.jpg,A cheerleader dressed in red smiles and cheers .
images/3563673070_71fa0903ed.jpg,A kayaker in a red kayak paddles as an orange kayak approaches from behind .
images/3495490064_8db40a83af.jpg,A man just caught a fish and it is fiesty !
images/3532593368_be10432e92.jpg,A large crow of people with their hands raised .
images/1104133405_c04a00707f.jpg,A boy carrying a soccer ball .
images/2877088081_7ca408cb25.jpg,A boy in jeans and a black shirt skating down a stair rail .
images/3567604049_da9e1be4ba.jpg,A man is about to do a belly-smacker into the pool .
images/401476986_73918145a3.jpg,A big dog is running in the grassy field with woods behind him .
images/3605676864_0fb491267e.jpg,A boy with a beach ball behind him playing in a pool
images/836828001_af98d16256.jpg,A child in the bathtub with water coming out of his mouth .
images/143688283_a96ded20f1.jpg,a man in a harness climbing a rock wall
images/3532782283_341f0381a3.jpg,Three people are facing the mountains .
images/3653484549_f316590b0f.jpg,A family watches as a little girl blows out the candles on her third birthday
images/2852982055_8112d0964f.jpg,a woman is looking away from two small children playing in a fountain .
images/3359636318_39267812a0.jpg,A group of people are standing in front of some stores .
images/2673148534_8daf0de833.jpg,A black dog runs paralell to a wire fence in a grassy medow .
images/542269487_5d77b363eb.jpg,A man and a woman in blue jog on the sidewalk while a man stretches on a park bench .
images/357725852_6f55cb9abc.jpg,"The two people are on the end of the dock with a boat behind them , and they are surrounded by water ."
images/3182558164_488b819f14.jpg,A basketball player in the air about to make a shot .
images/508261758_78fb8ae067.jpg,Three girls fell on top of one another and are laughing histerically .
images/1289142574_2bd6a082dd.jpg,A boy jumps from one picnic table to another .
images/381052465_722e00807b.jpg,a firetruck fights a fire .
images/1355703632_5683a4b6fb.jpg,A female softball player making a pitch .
images/2763044275_aa498eb88b.jpg,A pack of black dogs running in grass .
images/2848571082_26454cb981.jpg,A black and brown dog jumps in the air to catch a soccer ball .
images/278007543_99f5a91a3e.jpg,A brindle dog runs beside some pilings in ground at the waterside .
images/2939464283_fc1a834976.jpg,a football player catching the football .
images/514990193_2d2422af2c.jpg,A woman is laying on a striped couch on a grassy yard in a residential neighborhood .
images/3269895626_7b253c82ed.jpg,A dirt biker covered in mud racing
images/2069279767_fb32bfb2de.jpg,The men are climbing .
images/3132760860_3e743a935d.jpg,A boy with a board strapped to his feet does a trick while holding onto some kind of rope .
images/3169394115_2193158cee.jpg,A dog stands on a bench in the snow .
images/509778093_21236bb64d.jpg,a brown and white dog chasing a ball on some grass .
images/2496399593_a24954a5ca.jpg,A brown haired lady smiles at the camera in front of trees .
images/3026102616_3cf350af9e.jpg,A curious dog sniffs at grocery bags on a counter .
images/488408004_a1e26d4886.jpg,A child in formal clothing is walking along the edge of a stony area that is littered in places .
images/2966552760_e65b22cd26.jpg,A child in a red shirt is sitting against a wall with a map while eating .
images/3640417354_b0b3e4aec9.jpg,"A girl crouched up over a swing at the park , spinning around ."
images/3394654132_9a8659605c.jpg,A lady stand in front of a red truck holding her dog .
images/3105929913_94a6882e25.jpg,Four bald people are praying or meditating .
images/3286620180_4b00e93e8e.jpg,A crowd of people wearing red shirts runs along a city road .
images/3301438465_10121a2412.jpg,People in white standing on sports field while crowd watches from stands
images/2633201394_ee4a7666ed.jpg,A brown dog swims and carries a brown object .
images/2922807898_b5a06d5c70.jpg,A dog leaps in the air to catch a disc .
images/2921094201_2ed70a7963.jpg,"A man sits in an airplane seat holding a young girl in his arms , surrounded by other passengers ."
images/1174629344_a2e1a2bdbf.jpg,A crowd of people walk down a busy sidewalk .
images/399679638_d3036da331.jpg,A brown dog and a gray dog are playing in the snow .
images/3726629271_7639634703.jpg,Four dogs are playing and jumping in the air outside .
images/241109594_3cb90fe2a3.jpg,A black and white dog is biting onto a stick in the water .
